id,symbol,entry_price,exit_price,pnl,long_ema,short_ema,adx,atr,rsi,volume,side,Profit/Loss (%),Label
71,ETHUSDT,2701.01,2697.7185714285715,-3.291428571428696,2695.2409633454968,2696.490018027836,11.16384145184231,4.1142857142857405,63.57988165680473,5000.724,long,-12.185917754575867,0
72,BNBUSDT,672.76,674.1645714285714,-1.404571428571444,675.5322160691087,675.0144653665559,19.969114754612587,1.7557142857142969,36.8773234200745,6835.19,short,-20.87774880449854,0
73,ETHUSDT,2685.89,2682.249542857143,3.6404571428570303,2691.9987031346855,2689.7455806686785,19.2681249957862,3.7921428571429,28.316430020283946,7351.443,short,13.554006838913846,1
74,ETHUSDT,2681.74,2678.0995428571428,3.6404571428570303,2691.621430407413,2688.9155806686786,19.2681249957862,3.7921428571429,24.23611111111103,8656.912,short,13.574981701645314,1
75,BTCUSDT,96814.8,96864.76,-49.9600000000064,96944.75448166612,96906.70437213936,21.519673244693884,62.45000000000021,31.170035230855717,240.046,short,-5.160368042901689,0
76,BTCUSDT,96851.9,96788.17657142856,63.72342857142212,96940.29663622538,96903.4554977115,23.31825320708932,66.37857142857163,32.613957240822145,301.773,short,6.5794711896655285,1
77,BTCUSDT,96785.0,96735.30971428572,49.69028571428498,96934.21481804356,96890.0754977115,24.306408730840936,69.0142857142855,28.736449262484086,434.17,short,5.134089550476312,1
78,ETHUSDT,2671.59,2675.5414285714287,-3.95142857142855,2686.90283223833,2681.4273962418915,33.145662926686256,4.939285714285721,14.695989650710402,10370.653,short,-14.790550089753857,0
79,ETHUSDT,2675.87,2672.2386285714283,3.6313714285715832,2687.291923147421,2682.2833962418913,33.145662926686256,5.043571428571438,18.2270091135035,17328.012,short,13.570806610827818,1
80,ETHUSDT,2672.58,2666.527714285714,6.052285714285972,2686.9928322383303,2681.6253962418914,33.145662926686256,5.043571428571438,15.082315454061444,20708.391,short,22.64585424678016,1
81,ETHUSDT,2666.94,2663.0180571428573,3.921942857142767,2685.157450795176,2678.664316993513,36.954246064966256,5.447142857142841,13.91474767270836,13876.22,short,14.705778372002246,1
82,BTCUSDT,96686.3,96747.79142857144,-61.49142857143306,96881.55476391496,96807.0592948283,34.92847742467926,76.86428571428613,14.209320091672154,406.006,short,-6.359890550308892,0
83,ETHUSDT,2667.16,2672.2142857142853,-5.05428571428547,2683.646112293135,2676.6050535948107,41.141126045872575,6.317857142857098,14.556637621731198,31813.432,short,-18.950065666422226,0
84,BNBUSDT,670.3,671.7994285714285,-1.4994285714285525,673.3021643701136,672.4513086354518,19.173100290490083,1.8742857142857312,35.73221757322119,4960.79,short,-22.369514716224863,0
85,BTCUSDT,96972.3,97059.32742857144,87.02742857142584,96868.99316761634,96872.63021101827,32.20694318007056,120.87142857142835,63.442113442113616,97.635,long,8.974462663197675,1
86,ETHUSDT,2685.95,2680.546571428571,-5.403428571428776,2679.289544807565,2679.439232176836,31.23861842946351,6.754285714285743,67.25070300670556,6422.385,long,-20.117383314763032,0
87,BNBUSDT,679.29,677.7808571428571,-1.5091428571428196,675.094840756798,676.3875578508644,34.35862241667628,1.8864285714285691,71.12914131169683,4620.03,long,-22.216473923402663,0
88,ETHUSDT,2662.6,2666.236571428571,-3.636571428571187,2675.317135687102,2671.823938308972,32.58746648981507,4.5457142857142445,28.46254927726729,7519.58,short,-13.657971263318514,0
89,ETHUSDT,2666.09,2662.866457142857,3.223542857143002,2674.5989663271175,2670.9107506471782,34.7014533478314,4.477142857142813,31.23331553657266,6298.873,short,12.090900371491593,1
90,BNBUSDT,673.62,675.0577142857143,-1.4377142857142644,675.9754459617682,675.7104925997448,29.365117352171655,1.797142857142855,36.59305993690855,1751.71,short,-21.343105693332507,0
91,BNBUSDT,677.22,678.4445142857143,1.2245142857142357,676.1707066551052,676.2059152638367,25.92296438069949,1.7007142857142736,39.6181384248208,610.27,long,18.081484387853806,1
92,BTCUSDT,97181.5,97109.04857142858,-72.45142857142491,96951.7801642527,96978.169664138,23.559899743849467,90.56428571428424,60.90863704443357,771.407,long,-7.455269631712302,0
