"symbol","Margin Mode","Position Side","Entry Price","Avg. Close Pirce","Max Open Interest","Closed Vol.","Closing PNL","Funding Fee","Transaction Fee","Transaction Fee(BNB)","Opened","Closed","Status"
"MATICUSDT","Cross","Short","0.53870000","0.53980000","100.00000000","100.00000000","-0.11000000","0E-8","-0.05392500","0E-8","2024-07-20 22:45:07.013","2024-07-20 22:57:24.574","Closed"
"MATICUSDT","Cross","Long","0.54000000","0.53870000","100.00000000","100.00000000","-0.13000000","0E-8","-0.03773500","0E-8","2024-07-20 21:15:26.147","2024-07-20 21:27:02.630","Closed"
"MATICUSDT","Cross","Short","0.53920000","0.54070000","100.00000000","100.00000000","-0.15000000","0E-8","-0.01078400","0E-8","2024-07-20 20:27:49.292","2024-07-20 20:39:14.957","Closed"
"MATICUSDT","Cross","Short","0.53910000","0.54050000","100.00000000","100.00000000","-0.14000000","0E-8","-0.02695500","0E-8","2024-07-20 19:47:10.465","2024-07-20 20:11:07.322","Closed"
"MATICUSDT","Cross","Long","0.53110000","0.53290000","100.00000000","100.00000000","0.18000000","0E-8","-0.02655500","0E-8","2024-07-20 14:15:58.799","2024-07-20 14:21:38.851","Closed"
"MATICUSDT","Cross","Short","0.53620000","0.53400000","100.00000000","100.00000000","0.22000000","0.00536034","-0.02681000","0E-8","2024-07-20 07:59:17.906","2024-07-20 08:37:10.735","Closed"
"MATICUSDT","Cross","Long","0.53050000","0.53270000","100.00000000","100.00000000","0.22000000","0E-8","-0.02652500","0E-8","2024-07-20 02:38:20.356","2024-07-20 03:15:17.534","Closed"
"MATICUSDT","Cross","Short","0.53200000","0.53010000","100.00000000","100.00000000","0.19000000","0E-8","-0.01064000","0E-8","2024-07-20 00:15:50.193","2024-07-20 00:34:25.508","Closed"
"MATICUSDT","Cross","Long","0.51160000","0.51020000","75.00000000","75.00000000","-0.10500000","0E-8","-0.00767400","0E-8","2024-07-19 01:27:04.147","2024-07-19 01:34:08.043","Closed"
"MATICUSDT","Cross","Long","0.50940000","0.51160000","75.00000000","75.00000000","0.16500000","0E-8","-0.01910250","0E-8","2024-07-19 01:22:45.801","2024-07-19 01:26:49.419","Closed"
"MATICUSDT","Cross","Long","0.50750000","0.50930000","75.00000000","75.00000000","0.13500000","0E-8","-0.01903125","0E-8","2024-07-19 01:18:42.128","2024-07-19 01:22:40.205","Closed"
"MATICUSDT","Cross","Long","0.50870000","0.50750000","75.00000000","75.00000000","-0.09000000","0E-8","-0.01907625","0E-8","2024-07-19 01:16:21.301","2024-07-19 01:18:35.753","Closed"
"MATICUSDT","Cross","Long","0.51970000","0.51840000","75.00000000","75.00000000","-0.09750000","0E-8","-0.01948875","0E-8","2024-07-18 15:29:37.369","2024-07-18 15:33:25.381","Closed"
"MATICUSDT","Cross","Long","0.51930000","0.51820000","75.00000000","75.00000000","-0.08250000","0E-8","-0.01947375","0E-8","2024-07-18 15:26:17.317","2024-07-18 15:26:44.900","Closed"
"MATICUSDT","Cross","Long","0.51770000","0.51950000","75.00000000","75.00000000","0.13500000","0E-8","-0.00776550","0E-8","2024-07-18 15:24:03.386","2024-07-18 15:26:10.711","Closed"
"MATICUSDT","Cross","Long","0.51770000","0.51680000","75.00000000","75.00000000","-0.06750000","0E-8","-0.01941375","0E-8","2024-07-18 15:20:54.691","2024-07-18 15:21:50.746","Closed"
"MATICUSDT","Cross","Long","0.52040000","0.51820000","75.00000000","75.00000000","-0.16500000","0E-8","-0.00780600","0E-8","2024-07-18 15:15:20.782","2024-07-18 15:20:49.117","Closed"
"MATICUSDT","Cross","Long","0.53500000","0.53330000","75.00000000","75.00000000","-0.12750000","0E-8","-0.00802499","0E-8","2024-07-18 09:35:40.289","2024-07-18 09:56:43.546","Closed"
"MATICUSDT","Cross","Long","0.53600000","0.53440000","75.00000000","75.00000000","-0.12000000","0E-8","-0.02010000","0E-8","2024-07-18 09:27:41.664","2024-07-18 09:31:23.805","Closed"
"MATICUSDT","Cross","Long","0.53710000","0.53590000","75.00000000","75.00000000","-0.09000000","0E-8","-0.02014125","0E-8","2024-07-18 09:26:29.417","2024-07-18 09:27:35.137","Closed"
"MATICUSDT","Cross","Long","0.53530000","0.53720000","75.00000000","75.00000000","0.14250000","0E-8","-0.02007375","0E-8","2024-07-18 09:16:15.537","2024-07-18 09:25:17.844","Closed"
"MATICUSDT","Cross","Long","0.53620000","0.53530000","75.00000000","75.00000000","-0.06750000","0E-8","-0.02010750","0E-8","2024-07-18 09:15:09.978","2024-07-18 09:15:34.827","Closed"
"MATICUSDT","Cross","Long","0.54480000","0.54310000","75.00000000","75.00000000","-0.12750000","0E-8","-0.00817200","0E-8","2024-07-18 05:21:42.468","2024-07-18 05:22:47.347","Closed"
"MATICUSDT","Cross","Long","0.54370000","0.54260000","75.00000000","75.00000000","-0.08249999","0E-8","-0.04073625","0E-8","2024-07-18 05:16:25.150","2024-07-18 05:17:40.511","Closed"
"MATICUSDT","Cross","Short","0.54970000","0.55000000","100.00000000","100.00000000","-0.03000000","0E-8","-0.01099400","0E-8","2024-07-17 03:35:00.595","2024-07-17 04:24:12.794","Closed"
"MATICUSDT","Cross","Short","0.54810000","0.54960000","100.00000000","100.00000000","-0.15000000","0E-8","-0.02740500","0E-8","2024-07-17 03:30:17.679","2024-07-17 03:34:31.914","Closed"
"MATICUSDT","Cross","Long","0.55250000","0.55090000","100.00000000","100.00000000","-0.16000000","0E-8","-0.02762500","0E-8","2024-07-17 01:32:37.665","2024-07-17 01:46:53.364","Closed"
